x = 0.1, Y(x) = 2.303, S(x) = 2.30352, n = 126, time = 340495900 ns
x = 0.136, Y(x) = 1.99587, S(x) = 1.99513, n = 254, time = 561186600 ns
x = 0.137, Y(x) = 1.98856, S(x) = 1.98897, n = 69, time = 159228300 ns
x = 0.138, Y(x) = 1.9813, S(x) = 1.98209, n = 24, time = 73227600 ns
x = 0.139, Y(x) = 1.97409, S(x) = 1.9745, n = 68, time = 185117300 ns
x = 0.14, Y(x) = 1.96693, S(x) = 1.9663, n = 157, time = 394713900 ns
x = 0.141, Y(x) = 1.95982, S(x) = 1.96065, n = 67, time = 156657600 ns
x = 0.142, Y(x) = 1.95277, S(x) = 1.95208, n = 199, time = 436241700 ns
x = 0.143, Y(x) = 1.94576, S(x) = 1.94672, n = 88, time = 218857500 ns
x = 0.144, Y(x) = 1.93881, S(x) = 1.93872, n = 23, time = 67943100 ns
x = 0.145, Y(x) = 1.9319, S(x) = 1.93132, n = 173, time = 368522200 ns
x = 0.146, Y(x) = 1.92504, S(x) = 1.92531, n = 129, time = 331533000 ns
x = 0.147, Y(x) = 1.91822, S(x) = 1.91757, n = 128, time = 271411300 ns
x = 0.148, Y(x) = 1.91146, S(x) = 1.91229, n = 85, time = 234656300 ns
x = 0.149, Y(x) = 1.90473, S(x) = 1.90387, n = 274, time = 595404900 ns
x = 0.15, Y(x) = 1.89806, S(x) = 1.8981, n = 63, time = 147857700 ns
x = 0.151, Y(x) = 1.89143, S(x) = 1.89084, n = 104, time = 217312600 ns
x = 0.152, Y(x) = 1.88484, S(x) = 1.8842, n = 165, time = 370646400 ns
x = 0.153, Y(x) = 1.87829, S(x) = 1.87796, n = 123, time = 248044600 ns
x = 0.154, Y(x) = 1.87179, S(x) = 1.87086, n = 102, time = 243472300 ns
x = 0.155, Y(x) = 1.86533, S(x) = 1.86622, n = 41, time = 91269500 ns
x = 0.156, Y(x) = 1.85891, S(x) = 1.85978, n = 161, time = 343737200 ns
x = 0.157, Y(x) = 1.85254, S(x) = 1.85215, n = 80, time = 236870800 ns
x = 0.158, Y(x) = 1.8462, S(x) = 1.84598, n = 139, time = 291346100 ns
x = 0.159, Y(x) = 1.8399, S(x) = 1.83968, n = 79, time = 173139100 ns
x = 0.16, Y(x) = 1.83365, S(x) = 1.83421, n = 59, time = 90228600 ns
x = 0.161, Y(x) = 1.82743, S(x) = 1.82705, n = 78, time = 121622100 ns
x = 0.162, Y(x) = 1.82125, S(x) = 1.822, n = 155, time = 240084300 ns
x = 0.163, Y(x) = 1.81511, S(x) = 1.81425, n = 77, time = 110278600 ns
x = 0.164, Y(x) = 1.80901, S(x) = 1.80801, n = 134, time = 207161400 ns
x = 0.165, Y(x) = 1.80294, S(x) = 1.80325, n = 20, time = 33971400 ns
x = 0.166, Y(x) = 1.79692, S(x) = 1.796, n = 151, time = 230737500 ns
x = 0.167, Y(x) = 1.79092, S(x) = 1.79136, n = 38, time = 60698000 ns
x = 0.168, Y(x) = 1.78497, S(x) = 1.78488, n = 112, time = 208251600 ns
x = 0.169, Y(x) = 1.77905, S(x) = 1.77821, n = 130, time = 177447000 ns
x = 0.17, Y(x) = 1.77316, S(x) = 1.77412, n = 129, time = 209132100 ns
x = 0.171, Y(x) = 1.76731, S(x) = 1.76698, n = 110, time = 152567100 ns
x = 0.172, Y(x) = 1.76149, S(x) = 1.76139, n = 73, time = 100664500 ns
x = 0.173, Y(x) = 1.75571, S(x) = 1.75474, n = 127, time = 217653300 ns
x = 0.174, Y(x) = 1.74996, S(x) = 1.75081, n = 361, time = 803534000 ns
x = 0.175, Y(x) = 1.74425, S(x) = 1.74493, n = 197, time = 493568300 ns
x = 0.176, Y(x) = 1.73856, S(x) = 1.73815, n = 36, time = 86478500 ns
x = 0.177, Y(x) = 1.73291, S(x) = 1.73387, n = 71, time = 173098200 ns
x = 0.178, Y(x) = 1.72729, S(x) = 1.72753, n = 53, time = 180396000 ns
x = 0.179, Y(x) = 1.7217, S(x) = 1.72079, n = 105, time = 246950800 ns
x = 0.18, Y(x) = 1.71615, S(x) = 1.71551, n = 122, time = 323778300 ns
x = 0.181, Y(x) = 1.71062, S(x) = 1.71045, n = 35, time = 88812400 ns
x = 0.182, Y(x) = 1.70513, S(x) = 1.70558, n = 69, time = 167054900 ns
x = 0.183, Y(x) = 1.69966, S(x) = 1.69907, n = 18, time = 42524500 ns
