x = 0.923, Y(x) = 0.115879, S(x) = 0.115033, n = 37, time = 1515928 ns
x = 0.924, Y(x) = 0.114874, S(x) = 0.113991, n = 105, time = 2938296 ns
x = 0.925, Y(x) = 0.11387, S(x) = 0.114622, n = 64, time = 2202989 ns
x = 0.926, Y(x) = 0.112868, S(x) = 0.112436, n = 47, time = 7981293 ns
x = 0.927, Y(x) = 0.111867, S(x) = 0.112554, n = 47, time = 1679411 ns
x = 0.928, Y(x) = 0.110867, S(x) = 0.110974, n = 30, time = 1176279 ns
x = 0.929, Y(x) = 0.109869, S(x) = 0.110003, n = 57, time = 1844527 ns
x = 0.93, Y(x) = 0.108872, S(x) = 0.107891, n = 57, time = 3369414 ns
x = 0.931, Y(x) = 0.107876, S(x) = 0.107378, n = 40, time = 7411819 ns
x = 0.932, Y(x) = 0.106881, S(x) = 0.107496, n = 40, time = 1969481 ns
x = 0.933, Y(x) = 0.105887, S(x) = 0.106481, n = 50, time = 1671857 ns
x = 0.934, Y(x) = 0.104895, S(x) = 0.104378, n = 50, time = 1370656 ns
x = 0.935, Y(x) = 0.103904, S(x) = 0.103949, n = 60, time = 1828311 ns
x = 0.936, Y(x) = 0.102914, S(x) = 0.102771, n = 13, time = 622317 ns
x = 0.937, Y(x) = 0.101925, S(x) = 0.102887, n = 13, time = 6906085 ns
x = 0.938, Y(x) = 0.100938, S(x) = 0.100457, n = 23, time = 1407904 ns
x = 0.939, Y(x) = 0.099952, S(x) = 0.100324, n = 33, time = 1297615 ns
x = 0.94, Y(x) = 0.098967, S(x) = 0.0982893, n = 43, time = 4364903 ns
x = 0.941, Y(x) = 0.0979833, S(x) = 0.0971541, n = 63, time = 1949485 ns
x = 0.942, Y(x) = 0.0970008, S(x) = 0.0979139, n = 113, time = 7485880 ns
x = 0.943, Y(x) = 0.0960196, S(x) = 0.0970065, n = 116, time = 4548119 ns
x = 0.944, Y(x) = 0.0950395, S(x) = 0.0958069, n = 76, time = 2399155 ns
x = 0.945, Y(x) = 0.0940606, S(x) = 0.0946797, n = 56, time = 1618356 ns
x = 0.946, Y(x) = 0.093083, S(x) = 0.0927467, n = 46, time = 1606472 ns
x = 0.947, Y(x) = 0.0921065, S(x) = 0.0926662, n = 36, time = 7710256 ns
x = 0.948, Y(x) = 0.0911313, S(x) = 0.0905954, n = 36, time = 1288137 ns
x = 0.949, Y(x) = 0.0901572, S(x) = 0.0893038, n = 26, time = 876475 ns
x = 0.95, Y(x) = 0.0891844, S(x) = 0.0894243, n = 26, time = 1939161 ns
x = 0.951, Y(x) = 0.0882127, S(x) = 0.0885712, n = 59, time = 1507644 ns
x = 0.952, Y(x) = 0.0872423, S(x) = 0.0876706, n = 49, time = 5085156 ns
x = 0.953, Y(x) = 0.086273, S(x) = 0.0856111, n = 49, time = 3499888 ns
x = 0.954, Y(x) = 0.0853049, S(x) = 0.0858549, n = 72, time = 3936223 ns
x = 0.955, Y(x) = 0.084338, S(x) = 0.0848639, n = 16, time = 853228 ns
x = 0.956, Y(x) = 0.0833723, S(x) = 0.0828125, n = 16, time = 663182 ns
x = 0.957, Y(x) = 0.0824078, S(x) = 0.0815541, n = 52, time = 1196575 ns
x = 0.958, Y(x) = 0.0814445, S(x) = 0.081676, n = 52, time = 1574472 ns
x = 0.959, Y(x) = 0.0804823, S(x) = 0.0810781, n = 29, time = 8469493 ns
x = 0.96, Y(x) = 0.0795213, S(x) = 0.0804521, n = 3, time = 388377 ns
x = 0.961, Y(x) = 0.0785615, S(x) = 0.0784361, n = 3, time = 278210 ns
x = 0.962, Y(x) = 0.0776028, S(x) = 0.0770487, n = 42, time = 1787650 ns
x = 0.963, Y(x) = 0.0766453, S(x) = 0.0762135, n = 55, time = 2090249 ns
x = 0.964, Y(x) = 0.075689, S(x) = 0.0749555, n = 68, time = 2600309 ns
x = 0.965, Y(x) = 0.0747339, S(x) = 0.0738657, n = 94, time = 8515433 ns
x = 0.966, Y(x) = 0.0737799, S(x) = 0.0727881, n = 58, time = 2528596 ns
x = 0.967, Y(x) = 0.072827, S(x) = 0.0722457, n = 32, time = 1280453 ns
x = 0.968, Y(x) = 0.0718753, S(x) = 0.0723686, n = 32, time = 1187897 ns
